,曲名,発売日,表示回数,歌詞
0,あかるいみらい,2020-07-08,"87,856",アイスクリームが溶けるその前に電光石火で切り込んで滑らかに頭を撃ち抜いて首を頂いてさっと帰ろう目指せよ　明るい未来期待しよう　素晴らしい時代明日の天気は何曖昧な返しは無し選び取る　反射的に無駄のないクールな日々でかい宇宙の果てだけど皆が同じ星を見る言葉を覚えた動物が「おい、スノッブ野郎！」と啖呵を切るアイスクリームが溶けるその前に電光石火で切り込んで滑らかに頭を撃ち抜いて首を頂いてさっと帰ろう目指せよ　明るい未来期待しよう　素晴らしい時代直立も斜めもない不思議な空間がありそこに僕たったひとりそこに僕たったひとり旅人のように風を読み確かな道を進んでいく最後の丘を越えたとこでヒールを履いた美女がワンと吠えるこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,Anonymous,2019-05-22,"3,359",今だけ言わせてGod Damnおねがい　今だけ言わせてGod Damnこの微熱の中で君を追いかける世界地図が擦り切れるまでスケールの小さいアート神経を尖らすポストインターネット一歩も動けず固まる才能名前も知らない誰かがフレンド名前も知らない誰かが飛ばすハート名前も知らない誰かが飛ばすバッド名前も知らない誰かが待つ場所へ今だけ言わせてGod Damnおねがい　今だけ言わせてGod Damnこの微熱の中で君を追いかける世界地図が擦り切れるまでこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,アンチタイムトラベル,2020-06-24,"7,117",アルコールとカフェインの特効によって退廃したムードのラボラトリーナイキマグの膨らみ　模した靴とオシロスコープ蝶々の羽ばたき　嘯いた街借り物のマテリアルを切って貼ってみんなマーブルみたいな名前のない食にフォークを突き立てる細面の顔をしわばめて乗り込んだ窮屈な箱舟憎たらしいアイツの表情は忘れて古綿を耳の奥の方にギュッと詰める心配なんていらないよハートマークを据えて待ってろよこの怒りを優しさに変えるマジック今世紀中には編み出せないかなタイムトラベルなんかくだらないけどこのままじゃちょっとやるせないタイムトラベルなんかくだらない君と静かに歳を重ねたいだけなのさ内臓を乱暴に揺らして縮こめて四畳半の世界に引き戻された呆気なさと安堵で腑抜けた口角が矢印みたいだ端た金で缶ジュースを買って飲んで甘ったるさがどっと押し寄せてくるスカスカの頭を許してくれるそんな偽物の聖歌みたいな歌がみんな好きなんだな心配なんていらないよハートマークを据えて待ってろよこの怒りを優しさに変えるマジック設計図を練り直さなきゃタイムトラベルなんかくだらないけど世の中はもっと嘘みたいタイムトラベルなんかくだらないウッディウッドペッカーみたいに笑いたいタイムトラベルなんかくだらないけどこのままじゃちょっとやるせないタイムトラベルなんかくだらない君と静かに歳を重ねたいだけなのさこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,怒り,2018-11-14,"2,895",暗闇の中で火をつける時僕らの声がずっと遠くなった気がした何もしないのに明日話そうってずっと引き伸ばした思いがようやく日の目を見るかな伝わるはずないけど行き場のないこの気持ちに名前をつけるとすれば怒り素晴らしい日々に少しだけ嫌気がさした贅沢なんて言わないから鍵を閉めてよさあ乾杯しよう止まれない君のためを思って吊るされた窓からそっとね顔を出すよ髪を縛り走り出した目にも留まらぬ速さで君は消えた怒りに身をまかせたい涙を流すくらいの純粋な感情がひとつ　ふたつへんてこな頭をノックしてThis Is Mom　意味のないことばかりだよ怒りに身をまかせたい言葉につまるほどの純粋な感情がひとつ　ふたつうつろう景色にキスをしてThis is Momこんなことなら終わりでいいやこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,いたいけな惑星,2018-11-14,"3,418",もれなく打ち切りになってしまった一話完結のドラマとても平熱でなんていれないほど悲しい出来事だからたまらなくなって家を飛び出しておもむろに開けた微炭酸秘めた思いをぐっとこらえて幸せだなってぼやくんださらばいたいけな惑星楽しい時間をありがとうこの数ヶ月ちょっとのやりとりに何か意味があったとは思わないだけどいいじゃないかもっとこい橋を渡ってるその姿がとても綺麗だったから花束をそっと君にあげたいのさどこか遠くへ行ってしまう前にこれがハッピーエンドと教えてよ僕にだけ　そっとかまわずぎゅっとその感覚を余すことなく伝えてよさらばいたいけな惑星早いとこブルーレイとか出してよねオンタイムで楽しいなんて言うやつ周りに一人もいなかったよでもさ　なんか良いんだあの瞬間とか沈黙音楽に惚れ惚れしちゃうんだぜそういうの全然明るくないけどねもれなく打ち切りになってしまった一話完結のドラマとても平熱でなんていれないほど悲しい出来事だからたまらなくなって家を飛び出しておもむろに開けた微炭酸秘めた思いをぐっとこらえて幸せだなってぼやくんだどこか遠くへ行ってしまう前にこれがハッピーエンドと教えてよ僕にだけ　そっとかまわずぎゅっとその感覚を余すことなく伝えてよ最終回を何度でもこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,Old Friend(waste of time),2020-07-08,"3,750",平日の夜の静かな通りでスーツ姿の君が俯いて歩く肩幅は以前よりも狭くなった気がした余計なお世話だろうけど同じボールを蹴ってたあの頃だけが僕らの時間の本当で尖らせた鉛筆の脆さなんか知らない君も僕も孤独でそれだけが救いだったから話しかけたならどんな顔でどんなひとことをまず投げるだろうか一瞥をやるだけでまた歩き出してもそれはそれで君らしいけど胸が痛むのは僕が愚かだからくだらない共通言語や先生の名前も忘れた今年の雪はどのくらい積もるのかな西に　東に　影は伸び　離れてゆく踵を返したのは僕の方でそれっきりかどうかなんて分からないが今ここで会ったことは神様の手違い必然なんか求めないぜ夢のような日々に映るだろうかスターになれていないうちはまだちょっと手厳しそうだ長生きする予定とか僕にはないから元気なうちに話したいねまた会いましょうね必ず会いましょうね募る話だってあるでしょう大きな波も超えたでしょう今年の雪はどのくらい積もるのかな西に　東に　影は伸び　離れてゆくどこにも帰れない子どもの夢もジオラマももう寂れてしまったよ旺盛な知識欲を満たすほどに運命の青い渦はその目を隠すのだ何に縛られるでもなくこの道を選んで歩く誰に縛られるでもなくこの道を選んで歩く何に縛られるでもなくこの道を選んで歩く君はこれからもずっと僕の大切なともだちこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,終わりのステップ,2021-07-28,"1,755",突然笑ったり泣いたり誰かが誰かにおもねたりみんなみんな大忙し阿呆みたいに叫びたいくせに僕らは終わりのステップを踏みやがて全てを受け入れるだろうみんなみんな大忙し大忙しだ自分を騙すためのフレーズで人を騙してるお前僕が愛し続けたい人たちの弱い心に付け入らないで恋人が持ってる焔も友達が歌う光も部屋に累積する意味のない熱狂も素手で掴みとって強く抱きしめるよタイミングさ　この世界は苦悩も悲哀も作れるのさフェイクでも心が動いたら愛してあげて　それくらいは君が恥じることはないさ悪いのは力を持った奴だ今すぐこの手を振り上げてみんな守ってあげるからね突然笑ったり泣いたり誰かが誰かにおもねたりみんなみんな大忙し阿呆みたいに叫びたいくせに僕らは終わりのステップを踏みやがて全てを受け入れるだろうみんなみんな大忙し大忙しだこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,解体,2021-07-28,"1,501",家族も恋人も好きかどうか分からないこの街も友達もどんどん変わってゆくだろう頭の中で輝く景色はどんなものよりも美しすぎて世界の見方も少しずつ分かってきたのさそういうことで今はそういうことで良いのだ僕らには聞こえない特別な声で骸骨たちが明るい歌を歌うよみんなが泣いているときに上手く泣けなくてもいいのさみんなが笑っているときに上手く笑えなくてもいいのさこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,カルトボーイ,2020-05-02,"4,602",血生臭いニュース馬鹿のエクスキューズエンタメじゃないよ現実やいやいと言う0時半トンネルの先君の笑顔　鳥肌が止まらないよこんなはずじゃなかったのにこんなはずじゃなかったのに頭ばかり冴えてく何も食べないでも満足食べないでも満足一日はまだまだ続くget high　すべて自分のため美しいあなたのため嗅ぎとる死の匂い青ざめる　ドキドキ初恋のときめきみたいな胸騒ぎ初恋のときめき血生臭いニュース馬鹿のエクスキューズエンタメじゃないよ現実やいやいと言う0時半僕だって怖いし見えないものもあるだから手を繋ごうよ愛し合おうよ僕の子どもにも伝えなきゃいけないそれは悲しいこと　とても苦しいことこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,カーテンコールのその後で,2021-07-28,"2,728",祝祭を待つ人々の群れがいつもよりくたびれた瞬間に僕は街に繰り出して踊り狂いたいと思う報道に乗らないセンチメンタルスーパースターはただ僕らを鼓舞するよ輝けるさとカーテンコールのその後で好きにやろうぜ現実味を欠いたダンスをお見舞いしようぜ君の儚さに気づいた僕は自分の儚さをひた隠しているそして本当の声でこうして歌っているよ報道に乗らないセンチメンタルスーパースターはただ僕らを鼓舞するよまた会えるさとカーテンコールのその後で好きにやろうぜとりとめのない話を弾ませ手を叩こうぜ光はそれぞれの胸にあって東京タワーやスカイツリーにはないよだから君は僕に出会うのさいつだってそばにいるよどんなひどい時代でも力関係も秩序もなぜてラディカルに抱きしめるよEverybody In The HouseAfter The Curtain Call湧き上がるリズムと誘発する何かが合言葉長すぎる夢の終わりはいつもひとりぼっちで心細いけれど静けさの中でこうして歌っているよ真中を貫くあの人の声世界の輪郭線がくっきりと浮かび上がるカーテンコールのその後で好きにやろうぜとりとめのない話を弾ませ手を叩こうぜ光はそれぞれの胸にあって東京タワーやスカイツリーにはないよだから君は僕に出会うのさ君が弱さを見せてくれるから僕がいるのさ虫のように頼りないスピードで会いにいくそして僕は歌を歌って今をつくる儚い心を震わせながら今をつくるこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,Kiss,2018-11-14,"2,946",恥ずかしい言葉で満たすより何倍もお洒落なことがしたいだけ逆上がりも上手にできなくなった今やれること　何がある？Oh Baby君と目を合わせて　手に触れて音のない会話が始まればその瞬間はあっという間にやってくる世界はそれを止めないぜ最高のKiss　今すぐKissこのくだらない時間を楽しもう間違いも今日は美しいな悲しい君の陽だまりに膝をついて一緒に呆けて遊ぼうよいつまでも足りない頭で考えて僕達は何にも生まないよ違いの分からない音楽にのぼせてるうちにベルが鳴るお互いにずっと分からないこと耳をすましただけじゃ聞こえないものまだまだまだまだ頃合いじゃないけどこの熱が冷める前に最高のKiss　今すぐKissこのくだらない時間を楽しもう間違いも今日は美しいな最高のKiss　もう一度Kissこの素晴らしい時間を楽しもう間違いも今日は美しいなこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,Good Thinking,2019-05-22,"3,608",目的のない僕と違って君はたくさんの炎を胸に灯してるずっと小さい頃からボディにペイントをあしらって縦横無尽に技をキメるその姿いつも見惚れていた閉じた瞼に映る鮮やかなグラフィティのアート君の背中を必死に追いかけた日々レモネード　甘くて特別な味がしたKick Push & Turn誰よりもクールに風を切り誰よりも高く空を飛びたい君が見る景色の条理や裏側にまだまだたどり着けない日に日に痩せこける街並みも僕らは構わずに駆け抜けた未だに分からないことだらけ未だに分からないよ誰も死なない映画が君にとって退屈なように縛りのない自由では生きられない僕はちょっと今が苦しいよバリケード　突き破った先君の見ている世界は違うこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,恋はみずいろ,2021-07-28,"2,622",頭に血が上る時ほどくだらない妄想に耽るもんさ水槽の魚は軽くなって天井に向かって距離を詰めてきた汚染された大気の渦道化になった友だちの噂とか気にも留めない毎日毎日　妙な心地悪さの中で食べて眠るだけアンドロイド　きっとパラノイド聞きたくないよ　今はその声を鱗がないだけであとは同じじきにこの肌を薄いエナメロイドが覆うさ手に触れる時　キスをする時その光沢を以って突きつけてくる食物連鎖擦り付ける胃袋と胃袋Love Is Not Blindness恋はみずいろ　思いは白濁仄暗い道をそろりと歩くのだお前はみずいろ　残酷なみずいろ冷めたオードブルに箸をつけながら骨抜きにされた魚の気持ちを考えてみようかな恋はみずいろ別に込み入った話でもないのにさ首を傾げる奴らにはピースサインメトロポリスのコンクリートをしゃくって2メートル四方の穴ぼこの中でひっそり暮らそうかなとか考えてる経済格差も精神的分断も声のでかい奴もニヤつき顔　板についた奴も沈黙の度に迸るまるで人殺しの眼球でもはめられた気分ガタゴト　貨物を乗せ走る列車の荷台にしがみついたまんま俺は火だるまどうにでもなれ今見えてる線もすぐに点になるそれとない点になる恋はみずいろ　思いは白濁仄暗い道をそろりと歩くのだお前はみずいろ　残酷なみずいろ冷めたオードブルに箸をつけながら骨抜きにされた魚の気持ちを考えてみようかな僕はとってもハッピー今が一番ハッピー体の形は少しずつ変わるのさ君にどう伝えようかこの気持ちをどう伝えようかこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
