,曲名,発売日,表示回数,歌詞
0,ア(マ)ヤカシ・モノガナシィ feat. ピリオ,2015-12-02,"16,991",有象無象にたなびいた佰、阡、の妖禍子(あやかし)は繋いだ手　離れるように刻の静寂(しじま)に消えていた嘘だと云うのも善い厭だと叫ぶが善い訪れる日々を纏いページの隙間を埋めてゆく噫、擬態する猫の“悪戯”もユメ喰う獏の“映し世”もきっと世界の摩訶不謌思戯憂いた瞳(め)で魅据えている君の聲が　聴こえたならば君の聲が　聴こえたならば僕を穿つ心傷風景も少しは優しくなるのかな有耶無耶に為りそうな小さな思い出さえ還らない笑顔にのせてページの隙間を埋めてゆく噫、魅えていない事にするもの異論を強く唱えるもの本当の妖禍子(あやかし)は僕ら心の中に在るのです僕の声が　届くのならば僕の声が　届くのならばアイだとか　いとしい唄だとか泣きながら謳うのでしょうかまた会う日までの約束僕は強くなれたのかな気付けばあの長い石段を駆け上がっていた僕の事が　見えるのならば僕の事が　見えるのならばどうか少しだけ勇気を下さい“―大丈夫、約束でしょう？”君の声が　聴こえた朝に君の声が　聴こえた朝に噫、こぼれた後悔よりも早く僕は右手を差し伸べた『トモダチになってくれませんか。』この歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,アンチグラビティーズ feat.GUMI,2013-05-29,"41,292",新世紀ノンフィクション　僕は君といま宙を描いて相対サティスファクション　こんな日を待っていたたった一つの数式で　地球は馬鹿にでも為っちゃったんだ僕らとうぜん今日も　空中でクシャミをする「嫌いなものは何ですか。」グラウンドに遺された足跡の様な声で呟いたざらついた瑕(きず)を見せようとはせずにアンチグラビティーズもうこんな世界みんな浮いてしまえアンチグラビティーズ沈んだ気持ちにサヨナラできるからアンチグラビティーズクルマもヒトも明日の献立もアンチグラビティーズ空中でクシャミする　クシャミをするたった一つのキッカケで　世界はサカサに為ってしまった僕らとうぜん今日も　空中で懺悔をする「世界が回っているのは万有の引力に憧れた人類遺産なのでしょう。」なんてどうでも善いさ、そんな“ウワサ”アンチグラビティーズもうこんな世界みんな浮いてしまえアンチグラビティーズ沈んだ気持ちにサヨナラできるはずアンチグラビティーズテレビもネコも黒板の注釈もアンチグラビティーズ空中でクシャミする　クシャミをするうすうす感づいてはいたこの世界は、何も変わっちゃいないうすうす感づいてはいたこの気持ちは、何も何も変わっちゃいないいないアンチグラビティーズきょうもあしたもどうでも善い事もアンチグラビティーズ空中で懺悔する　懺悔をするアンチグラビティーズああこんな世界浮いた話すら無いアンチグラビティーズカラっぽのカラダそらしてコンニチワ　ラララどうしようも無かったんだって想わせて呉れて善いじゃないか「抗いたいのは重力なのかい?」-重力が嫌いだったわけじゃなくて　ホントはずっと逆立ちできない自分が嫌なだけさ-この歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,ki ki kai kai feat. GUMI,2015-12-02,"23,985",まちの秩序は　ぼくの躯よりも早く歪み出した劈(つんざ)くように　謳うように闇が押し寄せる音がするんだ悲しい過去も　失うユメも数知れず　人知れず心剥がれて　仕舞う前にそっと　呼び止めて　僕の事をヨミガヱリ　ヨミガヱシ幾千の　通せんぼ浮き世　憂き夜嘘も真実も大差ないよチグハグだったぼくらのカラダ　心拍数　数え合ったささめくような　キミの躯繋がり合えるような気がして時間がないの　ヒトの継ぎ目も曖昧なままの輪廻「その悲しみも　嘆きも全部受け止めてあげる」キキカイカイ　そうかい　ぼくは　そろそろ行かなきゃいけない時間なのかい？大丈夫　もう　キミは　オニじゃないぼくがオニになった　だけなの危機回避 　散々　浮き世改竄日に映えた紅色の果を大丈夫　“きっとまた、会えるから”どうかすくわれた結末を下さい解、差異、壊、怪？まちの秩序は　僕の躯よりも早く崩れ出した蠢(うごめ)くような　修羅のような闇をばらまく音がするんだ理不尽すぎた　例えば其んな物語　手繰り寄せて黄泉から還り　“読み”から返しもっと強く　ぼくを魅つめてヨミガヱリ　ヨミガヱシ幾千の　通せんぼ浮き世　憂き夜溺れたぼくの躯じゃ　世界をすくう事など出来ないけど揺らいでも善い　ぼくの声を　掴んで最後の問題(ゲーム)を終わらせようキキカイカイ　そうかい　ぼくはそろそろ行かなきゃいけない時間なのかい？大丈夫　さあ　涙を拭いて描いてた日々を　取り戻そう起死回生　シタイ事も　出来ないけどこの想い　伝わりますように大丈夫　“きっとまた、会えるから”どうかすくわれた結末を、どうか―たとえ繋いだ　この手が離れてもサヨナラなんて云わないから朝日に映えた紅色の因果をキミは笑って魅送れば善い躯のないぼくを魅送って　次はキミが手を差し伸べる番だたとえ繋いだ　この手が離れても“大丈夫”だと　約束してくれるかい、彩、回、再、会―この歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,クエスチョンユー100 feat.初音ミク,2013-05-29,"27,834",はじめの色を覚えてるの? ひたすら夢を追いかけたの?いつかのストーリィ置いてくの? 記憶の回路を垣間見たの?毎日を元気に生きてたの? 振り子は綽綽(しゃくしゃく)動いてたの?退屈な迷路を泳いでたの? 拙いシーケンスを受け入れたの?小さなボタン外れたの? 擦り剥いた傷はまだ痛むの?少しだけ熱を帯びているの? うたの続き覚えてるの?おどけたふりをして居るの? 突き放した事を怒ってるの?君は今、笑ってるの? 笑わない笑顔で笑ってるの?いつ? どこで? だれが? 何を?何時? 何分? 何十秒? 地球を何回回したの?創造しくて愛しい日々に罅(ひび)割れたクエスチョンを君と共有したのか?喜んだ? 怒った? 哀しんだ? 楽しんだ?痛かった? 強がった? 驚いた?君だった? 僕だった? 本当に?僕は余りにも下らない質問を今日も今日も沢山投げつけるのだろうか?どれくらい一緒に居たのだろう?どれくらい傷を残しただろう?どれだけの言葉を投げつけたろう?どれだけi(アイ)してi(アイ)されたいの?随分と無茶をしてきたの? ∃(存在)を追求していたの?狡猾な未来を紡いでたの? うたの続き、思い出した?偶然と偶然が重なったの? ふらついたステップで誤魔化すの?人間の定理に基づくの? ささくれた両手で満たせたの?空白は今日も呼びかけるの?ざらついたコードを拡げるの?いつ僕は手、放したんだろう?君はまだ、笑っているの?なぜ? どんな? どうやって? どっちが?何日? 何ヶ月? 何十年? 地球を何回鳴らしたの?簡単すぎて単純すぎるほど大切な解答が見つからないのだろうか?重すぎた? 挫折した? 無理をした? 穢れてた?絡まった? 間違えた? フリをした?怪我をした? 愛してた? 本当は?君は余りにも下らない質問を今日も沢山聴いてくれたのだろうか?大切な大切なものは見つかったの?かけがえの無いかけがえの無いものを失ったの?返事の無い返事を待つのが嫌だからくだらない質問投げつけていたの?君はまだ、生きてるの? うたはまだ、続いているの?何百? 何千? 何万? 何億? 何兆?何色? 何音? 何バイト? 地球と何回悩んだの?これほど近くで君と向き合ったことなんて在っただろうか?簡単かい? 単純かい? 曖昧かい?唐突かい? 高慢かい? 退屈かい?空白かい? 狡猾かい? 臆病かい?残酷かい? 困難かい?僕は勝手過ぎた自分のおまじないがこんな事で叶うと思ったのだろうか?君はもう…いや、何でもないんだ。この歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,蜘蛛糸モノポリー feat.初音ミク,2013-05-29,"26,249",堕ちた世界の終焉で絶間ない赤を抱く贖罪を掻き分けて白蓮の意思は阡年回廊忽然、視界の中心で揺れる感情と裏腹に真直ぐな銀色線(ぎんしょくせん)は只、掌で囁いて居た「…きっと其んな意図なんだ。」蜘蛛を掴む様なモノガタリ貴方が何様なんだとしても救いの亡い莫迦だったとしても千断(ちぎ)れそうな愛の様な“賽”を手繰り寄せたんだ其の糸が地獄に照り返る“赤色”なんだと気付いて居ても-僕は其れに縋る事しか出来無かった訳ですから。堕ちた世界の中心で絶え間ない夢掴むふと底を見下ろす幾千の四肢が縋っていたどれだけ伝って来たのか?どれだけ足掻いて来たのか?咽び泣くは血の池の様蠢き喚くは罪人(つみびと)模様手を差し伸べた訳じゃ亡いのだろう貴方は僕が足掻く様を見て嘲笑っておられたのだろう?かつて僕が“そうした”様に「…其れでも愛していたんだ。」蜘蛛を掴む様なモノガタリ貴方が神様なんだとしても“救い”と云う釈迦だったとしても千断(ちぎ)れそうな愛の様な“賽”にしがみついたんだ其の糸が地獄に照り返る“赤色”なんだと気付いて居ても-僕は其れに縋る事しか出来無かった訳なんだ貴方が何様なんだとしても救いの亡い莫迦だったとしても千断(ちぎ)れそうな賽の様な“愛”を求めてしまったんだ『この糸は己(おれ)の意図だ!』と叫んで断れた雲の異図、ああ-僕は其れに縋る事さえ出来無かった訳ですから。この歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,クレイマーズ↑ハイ feat. あやぽんず＊,2015-12-02,"26,126",お客様は神様でしょ？「なんで？」　知らないの　何様！五円玉毟(むし)り取れ二礼　二拍　に深く　一撃！！其れは事実無根トーゼンなんです　悪いのはキミさコンニャクハートのせいだ責任者出て来なサイ！“ハイ”なんですか？　そうですか？ノー！アウトローでしょ！？ふざけんな不謹慎に絶好調弱み魅せんな、真心魅せて☆モンスタークレイマー　ああ　クレイマーああ　クレイマーズ　ハイ★これ美味しく無い！ ←※金は払わない其れって謂わばアンチ人類だああ　クレイマー　ああ　クレイマーああ　クレイマーズ　ハイ★目鼻のさきから涅槃まで　小突いてツツいて毟(むし)り取ってやろうじゃないの　鬼の首まで―ナニ友など幻想でしょ？だって　トモに生きる気無いでしょ「あたしトモダチ居ないから～」↑免罪符　に深く　イ チ ゲ キ ！！鬱憤だらけ世界はもう　天邪鬼だなあふざけんな等身大の大抗争まわりアテンション・持ち越せハイテンション☆モンスタークレイマー　ああ　クレイマーああ　クレイマーズ　ハイ★キミのここ嫌い！キミを許せない！其れって謂わばアンチ人類だああ　クレイマー　ああ　クレイマーああ　クレイマーズ　ハイ★粘土からネバー火星まで　責めて鬩(せめ)いでごっそり取ってやろうじゃないの　鬼の首まで―小突いたハートが消える時あたしは自分を責めるのだホントはみんなと仲良くしたいだけなのに……なんちゃって！どんなもんだい、問題外！ヤラレル前にヤルセナキアナタの鬱憤晴ラスメント！！スペルミスから揚げ足総力戦ッッモンスタークレイマー　ああ　クレイマーああ　クレイマーズ　ハイ★こんな世界は 全部許せない！拗(こじ)れてくのだアンチ正解はああ　クレイマー　ああ　クレイマーああ　クレイマーズ　ハイ★この世の果てから涅槃まで　ツツいてツキ抜け突き止めてやろうじゃないかい　世怪のネジレをこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,ゴースト・ライト feat. 重音テト,2015-12-02,"38,576",子供が大人のフリをして大人になってく様に私は君のフリをずっと続けてたら君のようになれると思ったのです―生まれ落ちた世界は“トモダチ”のフリする人で溢れていた悲しいもんです　世界は裏切りと残酷たちのデコレーションで溢れていた周りと違う特徴(モノ)は異端だ、とか　欠陥だ、とか　弾圧のパレードみんなと少し違う私のカラダを見て顔をしかめた「気持ち悪い！バケモノめ」―待って、行かないで！「なんだ、弱者のフリでも魅せるのかい」強がるフリ、続けなきゃ…いいの、もういいの踞(うずくま)った世界のすみっこひとりぼっちの処世術強がり自分にバイバイ　此処は震えそうだ私は照らす光さえ　持たない幽霊(ゴースト)突然「お困りですか？元気出して！」差し伸べられた手　眩しい笑顔　おかしいな滲んでよく見えないよ君と出会ってからこの世界は全部愛で溢れていた君が好きだったものは全部全部この身体に詰め込んだ君と居ると何故かココロの中じゅう光で溢れていた運命は残酷だ或る日　君はこんな私を庇って遠くへ行ってしまった―待って、行かないで！返事が返ってくることはない世界の闇が覗く…待って、行かないで…君が照らしたふたつのしっぽひとりぼっちの処世術―まっすぐな　正義が　置き忘れた猫だとか　罪だとか　全部被ろう私が君の“フリ”をすることで世界を照らす光となれるなら悲しい世界のララバイ　愛が溢れそうだ私は君が持つ正義を　フリまく幽霊(ゴースト)君が望んでいた世界を作れます様私は今日も笑う笑って君のフリをする強がる世界にバイバイ　愛が震えそうだ私は照らす光さえ フリまく幽霊(ゴースト)「本当か嘘かなんてどうでもいいんさ」君の言葉で変えなくちゃ世界を―もっともっとキミと笑いたいから子供が大人のフリをして大人と笑いあう様に私は君のフリをずっと続けてたら君とずっと笑えると思ったのですこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,閃鋼のブリューナク feat. ピリオ,2015-12-02,"36,295",セピカの唄声　途絶える壊れた肢の痛み、まだ少し瓦礫の記憶を　そっと集めて噛み合わない歯車とパラドクス　重ねてく階層虚構と実像の解が行き交う　歪む　宙(そら)満たしてゆく揺らいだ二律背反再検索　繰り返す抗争円卓は今日も問いかけた其の銃に意味など在るのかと深潭(しんたん)、鼓動、ビットマップ、エラー、共振、トライ夢の彼方鋼争　侵蝕　誰が為の未来　i　問う？歪曲し　溢れていた　o(オー)のプロトコル理不尽な迷路を彷徨い歩いた誰か幻実(げんじつ)の迷執(めいしゅう)を引き裂いて！リジェクション　引鉄(トリガー)誰が為の未来　i　添う？粛正の鐘は何を想い散る瓦礫の砂漠をただ一人歩いて現奏(げんそう)の終焉を謳っていたんだセピカの傷痕　千切れて偶然と必然とが　囁いた刹那　掴んだ手を　離していた等間隔に満たされたエラー有神論に阻まれた使者ビットマップ　オーダー　渦巻くテトラ識別番号　流されるが侭夢、離れた鋼争　侵蝕誰が為の未来　i　問う？崩れた世界で願った　あの日々を偽りのエデンを踏み散らし叫んだ粛正の鐘よ　どうか世界を裁いてディストーション　引鉄(トリガー)誰が為の破壊　i　添う？響き合うテトラ　o(オー)のレクイエム瓦礫の砂漠をただ一人歩いて現奏(げんそう)の終焉を謳っていたんだ鋼争　侵蝕誰が為の未来　i　問う？歪曲し　溢れていた　o(オー)のプロトコル理不尽な迷路を彷徨い歩いた誰か幻実(げんじつ)の迷執(めいしゅう)を引き裂いて！現奏(げんそう)の終焉を謳っていたんだこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,阡年と螺旋、散るものを feat. すぃ,2015-12-02,"35,298",あわれあわれやだれぞおにかてのなるところさいてさいてやあかいはなははなるところ…けものかとりかかごのなかてのなるところさいてさいてやあおいはなおになくところ歪な躯　疵ついた四肢を怖れも無く抱え微笑んだ其の少女の小さな掌にこぼれ落ちた血すら紅ならで言の葉に縋っては　螺旋差し伸べた手に問う傍に居ても善いのですか尋ねる躯はそうヒトの情に縋ったケモノヒトの恋をなぞった異形“其れでも愛して居た”“其れでも愛して居た”こよみながれとしつきかさねふたつのはなひとのこ　おにのこあのこはどちらてのなるところ歪な躯　白い背　二つの影は優しく重なるも“禁じられし契りを交わして生まれ落ちた仔の血も紅ならで”言の刃は砕いてゆく　希望『―異形の愛の楔は深い禍根　残す』と零した涙はそうヒトの世の定めに背いてヒトの恋をなぞった異形其れでも愛した姿瞼に焼き付けて居た「逃げよう」ケモノは云った人々の足音　まわる火の手　放たれた弓矢せめてそう貴方だけは、と幼仔を庇う二つの優しい影　貫いた言の葉に縋っては　螺旋事切れた　手に問う生まれて来て善かったのですか尋ねる躯はそうヒトに忌み避けられし存在紅と碧の混じった異形“其れでも愛して居た？”其れでも……否……「ヒトの世が愛を奪う存在と為るならば己(おれ)はヒトの世の下らぬ業　奪う修羅と為ろう」と“愛が途絶える事も無く流れ継いで行きます様―”授かった名の意味を知る事は無いあわれあわれやだれぞおにかてのなるところさいてさいてやふたつのかげだれなくところ…この歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,ツギハギエデン feat.GUMI,2013-05-29,"15,510",創られる街、創られる街「いつかみた夢　叶えてご覧」言葉のゆらぎ　気にしちゃいないプラズマ色に　微笑んだエデン壊してなおせ　壊してなおせ都合悪い子　つまんで捨てろいつかみた夢　焚き付けて“理想”種をあたえて『ドウモアリガトウ』人類は進歩したのか?人類は調和したのか?止まった時計　夜の八時何が起きているの　疑似不可思議捨てられた絆　だれか気づいて何を信じてるの　疑似不可思議眠れない都市も　哀しい雨も何を待っているの　疑似不可思議終わらない夜も　眩い過去も何を求めてるの　疑似不可思議月の石ひとつ　流れ星ふたつロストする思考　変わりゆく思想抜け落ちた頭脳　回して語るプラズマ色に　ひび割れたエデンツギハギの街、ツギハギの街いつかみた夢　錆び付いた夢都合いい機能　付け足して“理想”つじつま合わせ『ドウモアリガトウ』いびつな世界　夜の八時何が起きていたの　疑似不可思議流された記憶(メモリ) だれか気づいて何を信じてたの　疑似不可思議こんなにも明日を　投げ捨ててまで何を探してたの　疑似不可思議こんなにもi(アイ)を　裏切ってまで何を信じてたの　疑似不可思議創られる街、創られる街「いつかみた夢　叶えてご覧」言葉のゆらぎ　気にしちゃいない気がつけばほら　ツギハギのエデンこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
