,曲名,発売日,表示回数,歌詞
0,アイネクライネ,2014-04-23,"2,255,498",あたしあなたに会えて本当に嬉しいのに当たり前のようにそれらすべてが悲しいんだ今痛いくらい幸せな思い出がいつか来るお別れを育てて歩く誰かの居場所を奪い生きるくらいならばもうあたしは石ころにでもなれたならいいなだとしたら勘違いも戸惑いもないそうやってあなたまでも知らないままであなたにあたしの思いが全部伝わってほしいのに誰にも言えない秘密があって嘘をついてしまうのだあなたが思えば思うよりいくつもあたしは意気地ないのにどうして消えない悲しみも綻びもあなたといればそれでよかったねと笑えるのがどんなに嬉しいか目の前の全てがぼやけては溶けてゆくような奇跡であふれて足りないやあたしの名前を呼んでくれたあなたが居場所を失くし彷徨うくらいならばもう誰かが身代わりになればなんて思うんだ今　細やかで確かな見ないふりきっと繰り返しながら笑い合うんだ何度誓っても何度祈っても惨憺たる夢を見る小さな歪みがいつかあなたを呑んでなくしてしまうようなあなたが思えば思うより大げさにあたしは不甲斐ないのにどうしてお願い　いつまでもいつまでも超えられない夜を超えようと手をつなぐこの日々が続きますように閉じた瞼さえ鮮やかに彩るためにそのために何ができるかなあなたの名前を呼んでいいかな産まれてきたその瞬間にあたし「消えてしまいたい」って泣き喚いたんだそれからずっと探していたんだいつか出会える　あなたのことを消えない悲しみも綻びもあなたといればそれでよかったねと笑えるのがどんなに嬉しいか目の前の全てがぼやけては溶けてゆくような奇跡であふれて足りないやあたしの名前を呼んでくれたあなたの名前を呼んでいいかなこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,あたしはゆうれい,2015-10-07,"415,952",真っ赤な林檎に小さなランプ灯りが射し込んだソファの上であなたはいつものように眠ってあたしは鏡の中でひたすら悪夢が遠のくように祈ったあなたの瞳はいつだって綺麗で心の奥まで見透かすようだその水晶体が映す世界であたしはどうにか生きてみたくてひたすら心に檸檬を抱いたあたしはゆうれい　あなたにみえないひとひらの想いも　伝わらないそれでも愛を　あたしの名前を教えてほしいの　その口からひゅるるお船のメロンにナイフとフォーク綺麗に並んだテーブルの上であなたは美味しそうにそいつを食べたあたしは鏡の中でひたすらあなたが生きてる姿を見ていたあたしの体は半透明で見透かすものなど何にもないやそれでもやっぱり涙がでるのおねがいよあなたのその一言であたしの体に血を巡らせてあたしはゆうれい　あなたはしらない涙の理由も　その色さえもそれでもきっと　変わらずにずっとあなたが好きよ　馬鹿みたいねひゅるるらるら　らりら　らったるったったるらいらあたしはゆうれい　あなたにみえないひとひらの想いも　伝わらないそれでも愛を　あたしの名前を教えてほしいの　その口からあたしはゆうれい　あなたはしらない涙の理由も　その色さえもそれでもきっと　変わらずにずっとあなたが好きよ　馬鹿みたいねひゅるるこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,雨の街路に夜光蟲,2015-10-07,"311,767",震えていたのは君の手か僕の手の方か街のライトが雨に照らされて弾ける夜に僕らはただ大人になりたくて　背伸びをしてチグハグな言葉を交わしあって　笑いあったんだ二人でだったら行けるよね　地球の隅っこへ誰も知らない約束を交わしあって僕ら歩いて行くんだ大げさなほどに愛を歌うよ悲しい歌を塗りつぶすように曖昧な作りの間違い探しみたいだった何が間違いで何が正しいかわからない僕らはただ「これで正しいんだ」と強がったけど本当はわかってたよ　道の先に何があるのか何度だって誓い合って今　地球の隅っこへ誰も知らない約束が重なった手と手に握られた馬鹿にされたって愛を歌うよ君とどこまでも行けるようにさめないでって　きえないでって馬鹿みたいに願っているんだどこにだって行けるんだってばればれの嘘をついていた誰も知らない約束を交わしあって僕ら歩いて行くんだ大げさなほどに愛を歌うよ悲しい歌を塗りつぶすように消えたい時も気持ちいい時もいつだってそばにいられるように誰も知らない約束が強まる雨に流れないように君とどこまでも行けるようにこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,あめふり婦人,2012-05-16,"196,618",街がびしゃびしゃ濡れる夜までは確かに声で溢れていた今ではおよそ耐え難いくらいの静けさ達がここに居た不遜な心ばかり強くなる私に愛をくださいないっとう重ねて弾ける泡沫さびしくなってどうしようもない真赤な笛の音　はしゃぐ子供たち遠くのほうへ行くようだ俄かに雨が降り出すみたいに通りすがって消えていったおどろに揺れるマッチの灯を抱えどうやらとても暖かく何故だか嫌に静かで煩い心満たしてよ！それはつかの間の恋心明日になったら肥える灯を消してよつまらないことばかり知らずのまにまに気が触れて適当な言葉が澱むまま夜の底へ行く列車に乗りましょういけないと知りながら愛されたいのはあなただけ街がびしゃびしゃ濡れる夜までは確かに声で溢れていた今ではおよそ耐え難いくらいの静けさ達がここに居た魚が揺れる雨に苛まれどうやらとても暖かく何故だか嫌に静かで煩い心満たしてよ！それはでたらめな恋模様明日になったら肥える灯を消してよつまらないことばかり知らずのまにまに気が触れて適当な言葉が澱むまま夜の底へ行く列車に乗りましょういけないと知りながら愛されたいのはあなただけ雨降って溺れる街角で確かなことなど何にもなくなってくだらないことばかり知らずのまにまに積み上げて落とせその腕の荷物をさ夜へ沈むには邪魔になるだけだろういけないと知りながら愛されたいのはあなただけこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,amen,2016-09-28,"250,818",馬が走る　黒いアスファルトの上荒んだ並木　風もなし　香りだす雨の気配東京はフラスコの中の風景迷い込んでは泣いていたのは遠い遠い昔光の澱に　道草を誘う亡霊九つの門を通り抜けてあの山の麓へと空っぽの花瓶に活ける花を探している恥ずかしいくらい生き急いでいた遠い遠い昔お願い　ママ　パパ　この世に生まれたその意味を教えて欲しいの　わたしに悲しい思い出はいらないから　ただただ美しい思い出を祈りの言葉を怒りが満ちる　黒い炎を纏ってどうかわたしの　この心を　赦してくれやしないかさもなければ　その清い雷を以ってわたしの身を　灰になるまで　焼いてくれないか音を立てて燃える部屋の中ひとり歯軋りみたいに火の粉は舞う　酸素を食べて育つありがとう　今　身をやつす苦渋の全てに再会を願い　今日はおやすみ　また明日お願い　ママ　パパ　この世に生まれたその意味を教えて欲しいの　わたしに悲しい思い出はいらないから　ただただ美しい思い出を祈りの言葉をこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,Alice,2017-11-01,"427,858",真っ逆さまに落っこちた　ふとした刹那につまづいてマンホールの中に落っこちた　そこからはパラノイア心臓のあたりで少年が　ひたすらバタバタ駆け巡るまま今日は何して遊ぼうか　がらくたの街の中姦しまやかしお伽の国で　兎の背中を追いかけていたどこかの誰かが蓋を開いて　ばら撒いた空騒ぎを見ていた曖昧な意識で彷徨った　摩訶不思議なアドベンチャー虚しさを抱えたまんま　愛を使い果たした何の話をしていたっけ　フラついて零したブランデー全てを明日に任せて踊ろうぜもっと真っ逆さまに落っこちた　さよなら数多のつまらぬ日々よ計画もなく息巻いて　飛び込んだメトロの中こんな日々すら万が一　夢幻ならどうしようかまあそんならそれで大歓迎　こんにちは元の鞘「この街はもう駄目だすぐに逃げろ」と　メゴラに跨る魔女が言う実を言うならばそんなこと知ってんだ　とかくわたしは疲れ果てたんだ曖昧な意識で彷徨った　摩訶不思議なアドベンチャー虚しさを抱えたまんま　愛を使い果たした何の話をしていたっけ　フラついて零したブランデーまだまだまだ今日よ続けと歌おうぜもっと曖昧な意識で彷徨った　摩訶不思議なアドベンチャー虚しさを抱えたまんま　愛を使い果たした何の話をしていたっけ　フラついて零したブランデー全てを明日に任せて踊ろうぜもっと遠くで何かが燃えていた　真っ黒焦げ星とタイヤ側には群がる人と　目を見張るドローン何の話をしていたっけ　染み付いて残ったブランデー全てを明日に任せて踊ろうぜもっと※曲名の正式表記は、Aliceの中国語簡体字表記となります。この歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,Undercover,2015-10-07,"334,198",どうやってあがいたって　逃げられやしないもんだって理解してみたってどうしようもないさあ今夜逃げ出そうぜ　ありったけのお菓子もってきっと役に立つと銃も携えてハッピーなエンドがいいんだよ　誰だって喜べるみたいなさそんなことを思いながら僕はずっと生きていくのかいつかもし僕の心が　完全に満たされたとしたならその瞬間に僕は引き金をひきたいどんな今も呑み込んでいけば過去に変わっていく進む方はただひとついつだってさ　この退屈をかみちぎり僕は駆け抜けて会いにいくんだあのトンネルの先へさ簡単に思えたって　上手くはいかないんだってもう散々確かめたことだったのにもういいやなんて言って　引き返そうとしたって一体全体どこへと帰るのですかラッキーなヒットでいいんだよ　こんな苦しみを味わうよりそんなことを思いながら僕は　きっと生きていくんだないつかもし僕の心が　完全に満たされたとしたなら？その瞬間へ辿り着くにはどうすれば？どんな今も笑っているうちに錆び付いていくんだ後戻りは無理なもんだいつだってさ　不安の腹にナイフを突き刺して闇雲に手を伸ばした何を掴むや知らずにどんな今も呑み込んでいけば過去に変わっていく進む方はただひとついつだってさ　この退屈をかみちぎり僕は駆け抜けて会いに行くんだ消し去ってよ　この憂いも全て木っ端微塵にしてさ行ける方へ　ただ向こうへそんじゃ今は　何もうたわない夜に沈もうかやがて来る朝を待ってこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,アンビリーバーズ,2015-09-02,"661,733",ヘッドライトに押し出されて　僕らは歩いたハイウェイの上をこの道の先を祈っていた　シャングリラを夢見ていた誰がどんなに疑おうと　僕は愛してるよ君の全てをもしも神様がいたのならば　僕と同じことを言うだろう何されたって　言われたっていい傷ついても平気でいられるんだだから手を取って　僕らと行こうぜここではない遠くの方へ今は信じない　果てのない悲しみを太陽を見ていた　地面に立ちすくんだままそれでも僕ら　空を飛ぼうと　夢を見て朝を繋いでいく全て受け止めて一緒に笑おうかテールライトに導かれて　僕らは歩いたハイウェイの上を気がつけば背負わされていた　重たい荷物を捨てられずに誰のせいにもできないんだ　終わりにしようよ後悔の歌は遠くで光る街明かりに　さよならをして前を向こう貶されようと　馬鹿にされようと君が僕を見つめてくれるならキラキラ光った　パチパチ弾いた魔法だって使えるような今は信じない　残酷な結末なんて僕らアンビリーバーズ　何度でも這い上がっていく風が吹くんだ　どこへいこうと　繋いだ足跡の向こうへとまだ終わらない旅が　無事であるようにそうかそれが光ならば　そんなもの要らないよ僕はこうしてちゃんと生きてるから　心配いらないよ帰る場所も無く僕らは　ずっと向こうまで逃げるんだどんな場所へ辿り着こうと　ゲラゲラ笑ってやろうぜ今は信じない　果てのない悲しみを太陽を見ていた　地面に立ちすくんだままそれでも僕ら　空を飛ぼうと　夢を見て朝を繋いでいく全て受け止めて一緒に笑おうかこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,ウィルオウィスプ,2015-10-07,"215,117",打ち捨てられた高速道路を歩き続けているみんな一列に並んでは　ゲラゲラ笑いながら犬も猫も鶏も引き連れ街を抜け出したんだこんなに世界が広いこと　知らずにいたんだなみんなが歌った　あの歌に　出てきた国に僕らは行くよ　声を上げて　振り向かないよねえ笑おう　手をとってほら悲しみをはらう為にもう二度と迷わない約束したよねママ　パパ　ママ今もあいたいよでもね僕は行くよ誰もいない街から街へとゆく僕らの冒険はくだらないことを喋りあい　身を寄せ合って歌を歌う帰る場所が無くなって随分経ち悲しみにも慣れてそれでも僕らの毎日は　まだ終わらないまま忘れられないよ　どんなときも　あの日のことを僕らは行くよ　きっと行くよ　もう泣かないからねえ今は　何もかもが美しくみえるんだもう僕は待ちきれないあの光る方へママ　パパ　ママ皆で行くんだ寂しくないんだよ聞こえるよ　歌声と誰かが僕らを呼ぶ声ここにいるよ　見つけておくれ　僕らのこの足音をねえ笑おう手をとってほら悲しみをはらう為にもう二度と迷わない約束したよねママ　パパ　ママ今もあいたいよでもね僕は行くよ今もあいたいよいつでも想っているよこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,打上花火,2017-11-01,"570,984",あの日見渡した渚を　今も思い出すんだ砂の上に刻んだ言葉　君の後ろ姿寄り返す波が　足元をよぎり何かを攫う夕凪の中　日暮れだけが通り過ぎて行くパッと光って咲いた　花火を見ていたきっとまだ　終わらない夏が曖昧な心を　解かして繋いだこの夜が　続いて欲しかった「あと何度君と同じ花火を見られるかな」って笑う顔に何ができるだろうか傷つくこと　喜ぶこと　繰り返す波と情動焦燥　最終列車の音何度でも　言葉にして君を呼ぶよ波間を選び　もう一度もう二度と悲しまずに済むようにはっと息を飲めば　消えちゃいそうな光がきっとまだ　胸に住んでいた手を伸ばせば触れた　あったかい未来はひそかに二人を見ていたパッと花火が夜に咲いた夜に咲いて静かに消えた離れないでもう少しだけもう少しだけパッと光って咲いた　花火を見ていたきっとまだ　終わらない夏が曖昧な心を　解かして繋いだこの夜が　続いて欲しかったパッと花火が夜に咲いた夜に咲いて静かに消えた離れないでもう少しだけもう少しだけこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
