,曲名,発売日,表示回数,歌詞
0,藍二乗,2019-04-10,"353,995",変わらない風景　浅い正午高架下、藍二乗、寝転ぶまま白紙の人生に拍手の音が一つ鳴っている空っぽな自分を今日も歌っていた変わらないように君が主役のプロットを書くノートの中止まったガス水道　世間もニュースも所詮他人事この人生さえほら、インクみたいだあの頃ずっと頭に描いた夢も大人になるほど時効になっていくただ、ただ雲を見上げても視界は今日も流れるまま遠く仰いだ夜に花泳ぐ春と見紛うほどに君をただ見失うように転ばないように下を向いた人生はどうにも妥協で出来てる心も運命もラブソングも人生も信じない所詮売れないなら全部が無駄だわざと零した夢で描いた今に寝そべったままで時効を待っているただ、ただ目蓋の裏側遠く描く君を見たままノート、薄い夜隅に花泳ぐ僕の目にまた一つ人生は妥協の連続なんだそんなこと疾うにわかってたんだエルマ、君なんだよ君だけが僕の音楽なんだこの詩はあと八十字人生の価値は、終わり方だろうからただ、ただ君だけを描け視界の藍も滲んだまま遠く仰いだ空に花泳ぐこの目覆う藍二乗ただ、ただ遠く仰いだ空、君が涼むただ夜を泳ぐようにこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,あの夏に咲け,2017-06-28,"307,900",君が触れたら、た、た、ただの花さえ笑って宙に咲け君に倣って、て、照れるまま座ってバスの最終時刻 オーバーいつもの通りバス亭で、君はサイダーを持っていた。それだって様になってるなあ。しがない物書きであった僕はその風景を描いていた。隣に座る間も無く消えた。バスが走っていく。書いて書いてようやく得たものが妬みとか蔑みとか！なんかもう忘れたい君が触れたら、た、た、ただの花さえ笑って宙に咲け君が登って、て、照れる雲も赤らんで飛んでいく君がいるなら、た、た、退屈な日々も何てことはないけど君がいた騒々しい夏もさよなら誰か応答願う　オーバー雨の街路脇、君は立っていた片手には赤いカトレア君の流した水滴が夕立ちみたく伝っていた君が泣いてるのに手は動いた声もかけないでその顔を書いていた吐いて　吐いてようやくわかるのが痛みです　虚しさですなんかもう馬鹿みたい満たされるから、た、た、足りてた分を落として嫌になるんだよそれで良かったって笑えるほど大人じゃないのにさ君が乗り込む、バ、バ、バスの隙間に僕の場所はないから君がいた想像だけが嵩んでいく今日も人生俯瞰、オーバー君が歩けば花が咲く君が歩けば空が泣く君が笑えば遠い夏笑う顔が書いてみたい夕立の中泣く君に僕が言えるのならもう一回あの夏に戻って君が泣いてる、と、と、止まらない訳を僕は知っていたい君に触れたら、て、て、適当なことでも喋ってみよう君がいたから、た、た、退屈な日々も何てことはないのさ君に笑って、て、照れるまま座ってバスの最終時刻、オーバーこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,雨とカプチーノ,2019-08-28,"348,768",灰色に白んだ言葉はカプチーノみたいな色してる言い訳はいいよ　窓辺に置いてきて数え切れないよ灰色に白んだ心はカプチーノみたいな色してる言い訳はいいよ　呷ろうカプチーノ戯けた振りしてさぁ揺蕩うように雨流れ僕らに嵐す花に溺れ君が褪せないような思い出をどうか、どうか、どうか君が溢れないように波待つ海岸　紅夕差す日窓に反射して八月のヴィスビー　潮騒待ちぼうけ　海風一つで夏泳いだ花の白さ、宵の雨流る夜に溺れ誰も褪せないような花一つどうか、どうか、どうか胸の内側に挿してずっとおかしいんだ生き方一つ教えてほしいだけ払えるものなんて僕にはもうないけど何も答えられないなら言葉一つでもいいよわからないよ本当にわかんないんだよさぁ揺蕩うように雨流れ僕らに嵐す花に溺れ君が褪せないように書く詩をどうか、どうか、どうか今も忘れないようにまた一つ夏が終わって、花一つを胸に抱いて、流る目蓋の裏で君が褪せないようにこの詩をどうか、どうか君が溢れないようにこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,雨晴るる,2019-08-28,"97,088",やっと雨が降ったんだこの青をずっと思っていたんだ心臓の音が澄んでいた言葉以外何にもいらない空だあの日まで僕は眠っていたんだ言い訳ばかりで足が出なかった想像よりずっと、君がいた街の青さをずっと歌え　人生は君だずっと君だ　全部君だ藍の色だ言葉になろうと残った思い出だけが遠い群青を染めたもっと書きたい　ずっと冷めない愛の歌を君のいない夏がまた来るやっと雨が上がったんだこの街をきっと君が描いたんだ心臓の音が澄んでいたあの日からずっと君が待っている何も言わない僕が笑っている、誤魔化すように消えろ　全部消えろ声も言葉も愛の歌もこの目を覆った淡い群青の中で白いカーテンが揺れるもっと触れたい　ずっと触れたい愛の歌を君のいない夏の青さを白いカーテンが揺れたそっと揺れた　僕に揺れた愛に触れた言葉になろうと残っていた君の詩はあの憧憬は消えない　きっと消せないずっと褪せない無謬の色だ歌え　人生は君だ全部君だ　ずっと消えない愛の色だこの目を覆った淡い群青の色だ思い出すように揺れたもっと書きたい　ずっと冷めない愛の歌を君のいない夏がまた来るこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,歩く,2019-08-28,"77,068",今日、死んでいくようなそんな感覚があったただ明日を待って流る季節を見下ろしたどうせならって思うよもう随分遠くに来た何も知らない振りは終わりにしよう確かめるように石畳を歩いた俯きながら行く　何も見えないように君の旅した街を歩く訳もないのに口を出てく昨日まで僕は眠ってた何も知らずにただ生きていたんだそれだけなんだ今日、生きてるようなそんな錯覚があった妄想でもいいんだ君が居てくれたらいいや悲しいような歌ばかり書く頬を伝え花緑青本当は全部を知っているんだ夏の終わりだった　流れる雲を読んで顔上げながら行く街は想い出の中君の言葉を食べて動く僕の口には何が見える今でもこの眼は眠ってる何も見えずにただ君を見てる彷徨うようにあの丘の前に君がいるその向こうには何が見える言葉ばかりが口を伝う何も知らないまま生きていたんだそれだけなんだ今でも、エイミーこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,言って。,2017-06-28,"683,280",言ってあのね、私実は気付いてるのほら、君がいったことあまり考えたいと思えなくて忘れてたんだけど盲目的に盲動的に妄想的に生きて衝動的な焦燥的な消極的なままじゃ駄目だったんだきっと、人生最後の日を前に思うのだろう全部、全部言い足りなくて惜しいけどあぁ、いつか人生最後の日、君がいないことをもっと、もっと、もっともっと、ちゃんと言ってあのね、空が青いのってどうやって伝えればいいんだろうね夜の雲が高いのってどうすれば君もわかるんだろう言ってあのね、私実はわかってるのもう君が逝ったことあのね、わからず屋って言うんだろうね忘れたいんだけどもっとちゃんと言ってよ忘れないようメモにしてよ明日十時にホームで待ち合わせとかしよう牡丹は散っても花だ夏が去っても追慕は切だ口に出して　声に出して君が言ってそして人生最後の日、君が見えるのならきっと、人生最後の日も愛をうたうのだろう全部、全部無駄じゃなかったって言うからあぁ、いつか人生最後の日、君がいないことがまだ信じられないけどもっと、もっと、もっと、もっともっと、もっと、もっと、君がもっと、もっと、もっと、もっともっと、ちゃんと言ってこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,嘘月,2021-01-27,"80,752",雨が降った　花が散ったただ染まった頬を想った僕はずっとバケツ一杯の月光を呑んでる本当なんだ　夜みたいで薄く透明な口触りでそうなんだ、って笑ってもいいけど僕は君を待っている夏が去った街は静か僕はやっと部屋に戻って夜になったこんな良い月を一人で見てる本当なんだ、昔の僕は涙が宝石で出来てたんだそうなんだ、って笑ってもいいけど声はもうとっくに忘れた想い出も愛も死んだ風のない海辺を歩いたあの夏へ僕はさよならが欲しいんだただ微睡むような物一つさえ云わないまま僕は君を待っている歳を取った　一つ取った何も無い部屋で春になった僕は愛を、底が抜けた柄杓で呑んでる本当なんだ　味もしなくて飲めば飲むほど喉が乾いてそうなんだって笑ってもいいけど僕は夜を待っている君の鼻歌が欲しいんだただ微睡むような物一つさえ云わないまま僕は君を待っている君の目を覚えていない君の口を描いていない物一つさえ云わないまま僕は君を待っていない君の鼻を知っていない君の頬を想っていないさよならすら云わないまま君は夜になって行くこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,エイミー,2019-08-28,"103,650",口に出してもう一回ギターを鳴らして二拍歌詞を書いてもう三節四度目の夏が来る誤解ばっかさ、手遅れみたいな話が一つ頭の六畳間、君と暮らす僕がいる忘れたいこと、わからないことも僕らのものだ長い夜の終わりを信じながらさぁ人生全部が馬鹿みたいなのに流れる白い雲でもう想像力が君をなぞっているあの夏にずっと君がいる生き急いで数十年許せないことばかり歌詞に書いた人生観すらただの文字になる言葉だって消耗品思い出は底がある何かに待ち惚け、百日紅の花が咲くこのまま、ほらこのまま、何処か遠くの国で浅い夏の隙間を彷徨いながらさぁ人生全部で君を書いたのに、忘れぬ口癖のよう想像力が紙をなぞっている指先にずっと君がいるもういいよさぁもういいかい、この歌で最後だから何も言わないままでも人生なんて終わるものなのさいいから歌え、もうさぁ人生全部が馬鹿みたいなのに流れる白い雲でもう想像力が僕をなぞっているあの夏にずっと君がいるこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,エルマ,2019-04-10,"152,520",嘘つきなんて　わかって　触れてエルマ　まだ　まだ痛いよもうさよならだって歌って暮れて夜が来るまで朝日の差す木漏れ日　僕とエルマまだ　まだ眠いかい初夏の初め近づく五月の森歩きだした顔には花の雫ほら　涙みたいだこのまま欠伸をしようなんならまた椅子にでも座ろう許せないことなんてないんだよ君は優しくなんてなれるこのまま何処かの遠い国で浅い夏の隙間に寝そべったまま涙も言葉も出ないままでただ夜の深さも知らないままで嘘つきなんて　わかって　触れてエルマ　まだ　まだ痛いよもうさよならだって歌って暮れて夜が来るまで辛いことも苦しいことも何も見えないならわからないし塞いだ目閉じたままで逃げた月明かりの道を歩く狭い部屋も冷たい夜も眠い昼も　寂しい朝もさよならの言葉越しに君の顔を見てるこのまま何処かの遠い国で浅い夏の隙間に寝そべったまま涙も言葉も出ないままでただ空の青さだけ見たままでただ君と終わりも知らないままで嘘つきなんて　わかって　触れてエルマ　まだ　まだ痛いよもうさよならだって歌って暮れて夜が来るまでこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,踊ろうぜ,2019-04-10,"125,561",嗚呼、透明よりも澄み切った心で世の中を笑っているんだよ嗚呼、音楽なんかを選んだあの日の自分を馬鹿に思うね伝えたい全部はもうこの詩も自分の声すらも風になったから　泡と消えていったから共感覚みたいこの感傷は何処かへ投げ捨てたい僕でいいのなら　君が知りたいのならもう隠すことなんてないよ今から少しだけ踊ろうぜ嗚呼、人間なんて辞めたいなそうだろ、面白くも何にもないだろ嗚呼、自慢のギターを見せびらかしたあの日の自分を潰してやりたいよ伝えたい全部はもう夏も冬も明日の向こう側で灰になったから　淡く消え去ったから疾うに失くしてたこの情動も何処かへ投げ捨てて君がいいのなら　ただ忘れたいのならもう躊躇うことなんてないよこのまま夜明けまで踊ろうぜ嗚呼、音楽なんか辞めてやるのさ思い出の君が一つも違わず描けたらどうせもうやりたいこと一つ言えないからさ浮かばないからさ君を知ったまま　日々が過ぎ去ったからどうか追いつきたいこの情動をこのまま歌にしたい今が苦しいならさ　言い訳はいいからさあぁもう、踊ろうぜほら風になったのさ　泡と消えていったのさどうせ割り切れないこの感傷も何処かへ投げ捨てて僕でいいのなら　君が知りたいのならもう隠すことなんてないよ今から少しだけこのまま少しだけ踊ろうぜこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
